   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
212.49567,17.10024,-12.64968,1.08571,29827.68945
212.29329,17.10026,-12.64963,1.0937,29827.31445
212.0957,17.10028,-12.64958,1.10155,29826.93359
211.89731,17.10029,-12.64955,1.10945,29826.55469
211.70001,17.1003,-12.64952,1.11748,29826.18555
211.50648,17.10031,-12.6495,1.12499,29825.81445
211.31323,17.10031,-12.64948,1.13273,29825.43945
211.12123,17.10032,-12.64947,1.14045,29825.07031
210.93083,17.10032,-12.64946,1.14769,29824.68945
210.74197,17.10032,-12.64946,1.1559,29824.31445
210.55287,17.10032,-12.64946,1.16333,29823.94141
210.36632,17.10032,-12.64946,1.17099,29823.56641
210.18419,17.10032,-12.64947,1.17843,29823.18945
210.00073,17.10031,-12.64948,1.18612,29822.81836
209.81923,17.10031,-12.64949,1.19335,29822.44141
209.63792,17.1003,-12.64951,1.20064,29822.05859
209.45952,17.1003,-12.64952,1.20813,29821.68555
209.28384,17.10029,-12.64954,1.2155,29821.3125
209.10928,17.10029,-12.64956,1.22278,29820.9375
208.93782,17.10028,-12.64958,1.23005,29820.56836
208.76576,17.10027,-12.6496,1.23652,29820.19531
208.59593,17.10026,-12.64963,1.24419,29819.81836
208.42723,17.10025,-12.64966,1.25056,29819.63086
208.26266,17.10024,-12.64969,1.25788,29819.24805
208.0986,17.10023,-12.64972,1.26503,29818.87305
207.93355,17.10022,-12.64975,1.2716,29818.49609
207.77153,17.10021,-12.64978,1.27892,29818.12305
207.60971,17.1002,-12.64981,1.28511,29817.74609
207.44914,17.10019,-12.64984,1.29238,29817.37305
207.29199,17.10018,-12.64987,1.29849,29816.99414
207.13509,17.10017,-12.6499,1.3056,29816.61914
206.98232,17.10016,-12.64993,1.3126,29816.24219
206.83107,17.10015,-12.64996,1.31853,29815.86719
206.67615,17.10013,-12.64999,1.32521,29815.49414
206.52696,17.10012,-12.65003,1.3315,29815.11914
206.37946,17.10011,-12.65005,1.33841,29814.74219
206.23166,17.1001,-12.65009,1.34403,29814.36719
206.08286,17.10009,-12.65012,1.35111,29814.00195
205.77946,17.10008,-12.65016,1.37104,29813.64844
205.27394,17.10009,-12.65014,1.3836,29813.33594
204.78177,17.1002,-12.6498,1.41241,29813.03516
204.29642,17.10042,-12.64916,1.44451,29812.73047
203.82063,17.10071,-12.64833,1.47684,29812.4375
203.34663,17.10101,-12.64745,1.50482,29812.14648
202.87959,17.1013,-12.64662,1.53044,29811.85352
202.40697,17.10155,-12.64587,1.55393,29811.56055
201.94002,17.10177,-12.64526,1.57517,29811.25586
201.4686,17.10194,-12.64475,1.59596,29810.96289
200.99887,17.10209,-12.64434,1.61634,29810.65234
200.53166,17.1022,-12.64401,1.63744,29810.34766
200.06827,17.10229,-12.64373,1.65896,29810.04688
199.60683,17.10238,-12.64349,1.68046,29809.73242
199.14864,17.10245,-12.64329,1.70234,29809.43945
198.69054,17.10251,-12.64311,1.72444,29809.12695
198.23569,17.10257,-12.64295,1.74687,29808.82422
197.78346,17.10262,-12.6428,1.76875,29808.52148
197.33836,17.10266,-12.64267,1.79125,29808.22852
196.89325,17.1027,-12.64255,1.81342,29807.91797
196.44817,17.10274,-12.64244,1.83619,29807.60352
196.00867,17.10277,-12.64235,1.85916,29807.31055
195.57364,17.1028,-12.64227,1.88092,29807
195.13956,17.10283,-12.6422,1.90375,29806.69922
194.78868,17.1031,-12.6414,1.93298,29806.38867
194.36702,17.10314,-12.64127,1.95407,29806.24219
194.30219,17.10315,-12.64126,1.9535,29806.08594
194.02068,17.10315,-12.64124,1.96891,29805.9375
193.58968,17.10314,-12.64129,1.98713,29805.64062
193.16585,17.10311,-12.64138,2.00714,29805.3457
192.74359,17.10307,-12.64149,2.02821,29805.05078
192.32419,17.10303,-12.64159,2.0497,29804.75586
191.90697,17.103,-12.64167,2.07269,29804.45117
191.49483,17.10298,-12.64174,2.09512,29804.13672
191.08461,17.10297,-12.64178,2.11845,29803.83594
190.6772,17.10296,-12.64181,2.14085,29803.54102
190.27312,17.10295,-12.64184,2.16394,29803.24414
189.87183,17.10294,-12.64185,2.18695,29802.94922
189.47298,17.10294,-12.64187,2.20881,29802.65234
189.07721,17.10293,-12.64189,2.23178,29802.35742
188.68295,17.10292,-12.64191,2.25418,29802.0625
188.29074,17.10291,-12.64193,2.2767,29801.76758
187.89931,17.10291,-12.64196,2.29979,29801.45703
187.51154,17.1029,-12.64198,2.32142,29801.14258
187.12624,17.10289,-12.64201,2.34434,29800.82812
186.74529,17.10288,-12.64203,2.36616,29800.51367
186.36642,17.10287,-12.64206,2.38897,29800.2207
185.98811,17.10286,-12.64209,2.4117,29800.07227
185.61362,17.10285,-12.64212,2.43396,29799.77734
185.24017,17.10284,-12.64215,2.45642,29799.48242
184.86891,17.10283,-12.64218,2.47946,29799.1875
184.50142,17.10282,-12.64221,2.50105,29798.89258
184.13794,17.10281,-12.64224,2.52371,29798.59766
183.77321,17.1028,-12.64227,2.54553,29798.29297
183.4128,17.10279,-12.64231,2.56823,29797.97852
183.05408,17.10277,-12.64234,2.59038,29797.66406
182.69676,17.10276,-12.64237,2.61293,29797.34961
182.34233,17.10275,-12.64241,2.63586,29797.03711
181.98927,17.10274,-12.64244,2.65752,29796.72266
181.63741,17.10273,-12.64247,2.68053,29796.4082
181.28705,17.10272,-12.6425,2.70245,29796.0957
180.94112,17.10271,-12.64253,2.72508,29795.78125
180.59715,17.1027,-12.64255,2.74759,29795.4668
180.25555,17.10269,-12.64259,2.76938,29795.15234
179.91676,17.10268,-12.64261,2.79206,29794.83789
179.57562,17.10267,-12.64265,2.81384,29794.52539
179.23775,17.10266,-12.64268,2.837,29794.21094
178.90222,17.10265,-12.6427,2.85898,29793.89648
178.56815,17.10264,-12.64273,2.8817,29793.58203
178.2356,17.10263,-12.64276,2.9041,29793.26953
177.9054,17.10262,-12.64278,2.92622,29792.95508
177.5809,17.10261,-12.64281,2.94911,29792.64062
177.25624,17.1026,-12.64284,2.97053,29792.32617
176.9315,17.10259,-12.64287,2.99314,29792.01172
176.60953,17.10258,-12.6429,3.01471,29791.69727
176.29091,17.10257,-12.64293,3.03756,29791.38281
175.97197,17.10256,-12.64296,3.05938,29791.22461
175.65379,17.10255,-12.64299,3.08196,29790.91406
175.33731,17.10254,-12.64302,3.10431,29790.59961
175.0255,17.10253,-12.64304,3.12684,29790.28516
174.71318,17.10252,-12.64307,3.1493,29789.98242
174.40469,17.10251,-12.64309,3.17152,29789.6875
174.09767,17.10251,-12.64312,3.19367,29789.39258
173.78952,17.1025,-12.64314,3.21566,29789.09766
173.48683,17.10249,-12.64317,3.23862,29788.80273
173.18219,17.10248,-12.64319,3.26035,29788.50781
172.88248,17.10247,-12.64322,3.28294,29788.21289
172.5813,17.10246,-12.64324,3.30529,29787.90039
172.28334,17.10246,-12.64326,3.3277,29787.58789
171.987,17.10245,-12.64328,3.3505,29787.2832
171.68944,17.10244,-12.6433,3.37223,29786.99023
