   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
180.66348,17.79295,-10.65345,2.61173,30000.48633
180.24445,17.79294,-10.65347,2.63854,30000.18164
179.83211,17.79293,-10.6535,2.66502,29999.87695
179.42296,17.79292,-10.65352,2.69167,29999.57227
179.00945,17.79292,-10.65355,2.71847,29999.26953
178.60503,17.79291,-10.65357,2.74525,29998.96289
178.20372,17.7929,-10.6536,2.77183,29998.66016
177.80412,17.79289,-10.65362,2.7984,29998.35742
177.40024,17.79288,-10.65364,2.82526,29998.05273
177.0023,17.79288,-10.65367,2.85216,29997.74805
176.60161,17.79287,-10.65369,2.87935,29997.44336
176.20624,17.79286,-10.65371,2.90671,29997.1582
175.81703,17.79285,-10.65373,2.93322,29996.87109
175.42378,17.79285,-10.65375,2.96021,29996.58398
175.03658,17.79284,-10.65377,2.98715,29996.29883
174.6525,17.79283,-10.65379,3.01415,29995.99414
174.2681,17.79283,-10.65381,3.04143,29995.69922
173.88577,17.79282,-10.65383,3.06876,29995.4043
173.50789,17.79281,-10.65384,3.0961,29995.11914
173.13309,17.79281,-10.65386,3.12329,29994.83203
172.75833,17.7928,-10.65387,3.15082,29994.54492
172.3862,17.7928,-10.65388,3.17802,29994.25977
172.01682,17.7928,-10.65389,3.2053,29993.9707
171.64455,17.79279,-10.6539,3.23316,29993.67773
171.27385,17.79279,-10.65391,3.26058,29993.375
170.90947,17.79279,-10.65392,3.28806,29993.22461
170.54547,17.79278,-10.65394,3.31566,29992.91797
170.18257,17.79278,-10.65395,3.34318,29992.63477
169.82362,17.79277,-10.65396,3.37085,29992.33984
169.46408,17.79277,-10.65398,3.39862,29992.05273
169.1064,17.79276,-10.65399,3.42615,29991.76367
168.74571,17.79276,-10.65401,3.45442,29991.47852
168.3886,17.79275,-10.65402,3.48255,29991.18359
168.03221,17.79275,-10.65404,3.51053,29990.87891
167.68105,17.79274,-10.65405,3.53851,29990.5918
167.32974,17.79274,-10.65406,3.56647,29990.30469
