#v_a,w,h
190.27,16888.69,20976.19
190.74,16885.37,20991.06
190.74,16885.37,20991.06
189.84,16880.39,20991.95
189.84,16880.39,20991.95
189.84,16878.53,20991.95
185.74,16876.56,21125.67
185.74,16876.56,21125.67
181.56,16872.41,21329.30
181.56,16872.41,21329.30
177.61,16870.54,21525.94
177.61,16868.46,21525.94
177.61,16868.46,21525.94
173.44,16865.04,21715.59
173.44,16865.04,21715.59
170.48,16861.20,21933.20
170.48,16861.20,21933.20
170.18,16859.02,21933.20
170.18,16857.16,22108.87
169.96,16857.16,22108.87
169.96,16853.63,22263.56
169.96,16853.63,22263.56
169.97,16851.66,22376.31
169.97,16849.69,22376.31
170.06,16849.69,22376.31
170.06,16845.95,22468.08
169.99,16845.95,22468.08
169.99,16842.22,22566.84
169.99,16842.22,22566.84
170.00,16840.25,22637.64
170.00,16838.38,22637.64
169.94,16838.38,22637.64
169.94,16834.75,22722.42
170.02,16834.75,22722.42
170.02,16832.47,22821.19
170.02,16830.71,22821.19
170.26,16830.71,22898.98
170.26,16826.97,22898.98
171.03,16826.97,22898.98
171.03,16823.44,22983.76
173.09,16823.44,22983.76
173.09,16821.70,23005.62
173.09,16819.73,23005.62
175.16,16819.73,22992.53
175.16,16816.38,22992.53
177.15,16816.38,22992.53
177.15,16814.63,22965.46
177.92,16812.66,22965.46
177.92,16812.66,22966.35
177.92,16808.71,22966.35
179.22,16808.71,22966.35
179.22,16805.29,22967.23
180.30,16805.29,22967.23
180.30,16803.32,22968.12
181.07,16801.35,22968.12
181.07,16801.35,22969.01
181.07,16797.72,22969.01
181.08,16797.72,22969.01
181.08,16795.85,22969.90
181.08,16793.98,22969.90
181.08,16793.98,22970.79
181.09,16790.25,22970.79
181.09,16790.25,22971.68
181.09,16786.20,22971.68
182.02,16786.20,22971.68
182.02,16784.23,22972.57
182.03,16782.16,22972.57
182.03,16782.16,22973.46
182.04,16778.84,22973.46
182.04,16778.84,22974.35
182.04,16776.97,22974.35
182.05,16774.90,22974.35
182.05,16774.90,22975.24
182.06,16771.68,22975.24
182.06,16771.68,22976.13
182.06,16767.43,22976.13
182.06,16767.43,22976.13
182.06,16765.56,23011.97
182.07,16764.00,23011.97
182.07,16764.00,22984.90
181.93,16760.27,22984.90
181.93,16760.27,22978.80
181.94,16758.61,22978.80
181.94,16756.74,22978.80
182.41,16756.74,23007.65
